dbn,address,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,asian,black,hispanic,native,pacific,white,attendance,val_chronic_absent_hs_allgf,val_chronic_absent_hs_allgm,Graduation,val_pct_cer_6mo_allgf,val_pct_cer_6mo_allgm,val_pct_cer_6mo_coll_2yr_all,val_pct_cer_6mo_coll_4yr_all,val_pct_cer_6mo_coll_oost_all,val_pct_cer_6mo_coll_priv_all,val_pct_cer_6mo_coll_publ_all,val_pct_cer_6mo_other_all,CollegeSat,APScoreQualified,val_pct_cpci_other_college_all,satMath,satWrt
10X225,"2225 Webster Ave, The Bronx, NY 10457",Theatre Arts Production Company School,High School,355,0.7,0.81,0.76,0.85,0.91,0.9,0.69,0.31,0.02,0.242,0.707,0.003,0.006,0.017,0.772,0.363,0.33,0.817,0.586,0.552,0.368,0.08,0,0.092,0.034,0,0.057,0.3,0.143,428,435
10X237,"120 W 231st St, The Bronx, NY 10463","The Marie Curie School for Medicine, Nursing, and",High School,385,0.69,0.77,0.82,0.82,0.88,0.89,0.717,0.283,0.023,0.296,0.631,0.005,0.005,0.031,0.85,0.614,0.633,0.828,0.488,0.423,0.194,0.046,0.056,0.12,0.056,0,0.075,0.129,0.323,419,430
10X243,"500 E Fordham Rd, The Bronx, NY 10458",West Bronx Academy for the Future,High School,354,0.69,0.87,0.8,0.9,0.93,0.93,0.497,0.503,0.023,0.164,0.788,0.003,0.003,0.017,0.898,0.761,0.633,1,0.688,0.588,0.424,0.106,0,0.045,0.061,0,0.115,0.279,0.016,439,449
10X264,"2474 Crotona Ave, The Bronx, NY 10458",Bronx Academy for Software Engineering (BASE),High School,430,0.77,0.92,0.86,0.84,0.9,0.91,0.186,0.814,0.037,0.279,0.635,0.014,0.007,0.016,0.816,0.563,0.513,0.815,0.69,0.6,0.277,0.213,0.053,0.053,0.032,0,0.123,0.117,0.198,446,450
10X268,"2780 Reservoir Ave, The Bronx, NY 10468",Kingsbridge International High School,High School,363,0.74,0.83,0.81,0.84,0.92,0.88,0.449,0.551,0.019,0.028,0.923,0.008,0.003,0.019,0.703,0.506,0.377,0.588,0.37,0.161,0.193,0.06,0,0,0,0,0.008,0.025,0.017,362,360
10X284,"99 Terrace View Ave #804, The Bronx, NY 10463",Bronx School of Law and Finance,High School,354,0.82,0.91,0.86,0.94,0.87,0.92,0.548,0.452,0.006,0.203,0.751,0.006,0,0.023,0.826,0.636,0.481,0.83,0.646,0.472,0.317,0.069,0.04,0.04,0.089,0,0.04,0.22,0.4,414,422
10X342,"2780 Reservoir Ave, The Bronx, NY 10468",International School for Liberal Arts,High School,389,0.85,0.94,0.87,0.98,0.96,0.97,0.483,0.517,0,0,1,0,0,0,0.889,0.83,0.719,0.796,0.481,0.465,0.305,0.053,0,0.095,0.021,0,0.022,0.188,0.183,399,391
10X351,"100 W Mosholu Pkwy S, The Bronx, NY 10468",Bronx Collaborative High School,High School,554,0.73,0.72,0.73,0.74,0.86,0.86,0.486,0.514,0.031,0.26,0.648,0.013,0.004,0.034,0.561,0.095,0.041,0.882,0.638,0.393,0.252,0.067,0.042,0.034,0.118,0,0.021,0.24,0.153,412,431
10X353,"100 W Mosholu Pkwy S, The Bronx, NY 10468",World View High School,High School,602,0.79,0.95,0.86,0.94,0.9,0.94,0.542,0.458,0.027,0.221,0.714,0.005,0.008,0.012,0.934,0.859,0.711,1,0.843,0.61,0.232,0.19,0.042,0.176,0.106,0,0.129,0.246,0.386,438,439
10X368,"2975 Tibbett Ave, The Bronx, NY 10463",In-Tech Academy (M.S. / High School 368),High School,596,0.69,0.8,0.76,0.82,0.89,0.86,0.475,0.525,0.034,0.082,0.846,0.005,0.003,0.027,0.806,0.533,0.339,0.821,0.75,0.692,0.342,0.188,0.017,0.111,0.051,0,0.139,0.192,0.172,438,464
