dbn,address,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,asian,black,hispanic,native,pacific,white,attendance,val_chronic_absent_hs_allgf,val_chronic_absent_hs_allgm,Graduation,val_pct_cer_6mo_allgf,val_pct_cer_6mo_allgm,val_pct_cer_6mo_coll_2yr_all,val_pct_cer_6mo_coll_4yr_all,val_pct_cer_6mo_coll_oost_all,val_pct_cer_6mo_coll_priv_all,val_pct_cer_6mo_coll_publ_all,val_pct_cer_6mo_other_all,CollegeSat,APScoreQualified,val_pct_cpci_other_college_all,satMath,satWrt
12X682,"1021 Jennings St, The Bronx, NY 10460",Fannie Lou Hamer Freedom High School,High School,478,0.82,0.95,0.9,0.97,0.91,0.97,0.475,0.525,0.01,0.272,0.674,0.002,0.004,0.025,0.692,0.139,0.116,0.814,0.463,0.433,0.194,0.037,0.019,0.083,0.111,0,0.009,0.013,0.345,389,400
12X684,"1122 E 180th St, The Bronx, NY 10460",Wings Academy,High School,345,0.64,0.9,0.79,0.89,0.92,0.93,0.319,0.681,0.012,0.516,0.429,0.014,0,0.02,0.827,0.645,0.534,0.713,0.444,0.195,0.114,0.023,0,0.076,0.068,0,0.034,0.132,0.011,408,423
13K265,"101 Park Ave, Brooklyn, NY 11205",Dr. Susan S. McKinney Secondary School of the Arts,High School,224,0.67,0.83,0.78,0.85,0.86,0.87,0.629,0.371,0.009,0.683,0.263,0.027,0,0.013,0.888,0.804,0.722,0.9,0.556,0.423,0.226,0.038,0.094,0.057,0.075,0,0.135,0.173,0.019,429,440
13K350,"49 Flatbush Ave Ext, Brooklyn, NY 11201",Urban Assembly School of Music and Art,High School,176,0.7,0.9,0.91,0.89,0.94,0.94,0.71,0.29,0.006,0.71,0.261,0,0,0.017,0.798,0.524,0.392,0.826,0.813,0.389,0.3,0.14,0.04,0.04,0.14,0,0.042,0.021,0.333,383,390
13K412,"300 Willoughby Ave, Brooklyn, NY 11205",Brooklyn Community Arts & Media High School (BCAM),High School,547,0.72,0.89,0.81,0.91,0.92,0.93,0.554,0.446,0.018,0.678,0.258,0.004,0.005,0.026,0.752,0.477,0.441,0.846,0.769,0.458,0.31,0.16,0.03,0.02,0.09,0,0.069,0.127,0.169,417,428
13K419,"49 Flatbush Ave Ext, Brooklyn, NY 11201","Science Skills Center High School for Science, Tec",High School,573,0.75,0.85,0.79,0.86,0.92,0.85,0.412,0.588,0.082,0.649,0.182,0.019,0.007,0.031,0.962,0.898,0.853,0.994,0.911,0.743,0.395,0.21,0.059,0.034,0.109,0,0.24,0.289,0.87,461,464
13K430,"29 Fort Greene Pl, Brooklyn, NY 11217",Brooklyn Technical High School,High School,5917,0.78,0.78,0.76,0.8,0.75,0.84,0.404,0.596,0.593,0.056,0.066,0.006,0.006,0.237,0.951,0.922,0.886,0.961,0.897,0.832,0.021,0.256,0.151,0.188,0.242,0,0.976,0.973,0.97,720,663
13K439,"49 Flatbush Ave Ext, Brooklyn, NY 11201",Brooklyn International High School,High School,345,0.83,0.96,0.91,0.9,0.93,0.96,0.443,0.557,0.214,0.183,0.528,0,0.014,0.061,0.777,0.548,0.465,0.804,0.5,0.523,0.232,0.159,0.024,0.024,0.073,0,0.021,0,0.268,0,0
13K483,"283 Adams St, Brooklyn, NY 11201",The Urban Assembly School for Law and Justice,High School,460,0.79,0.95,0.88,0.97,0.92,0.95,0.635,0.365,0.022,0.637,0.287,0.015,0.002,0.024,0.887,0.675,0.561,0.926,0.891,0.81,0.288,0.25,0.106,0.087,0.115,0,0.179,0.146,0.047,459,458
13K527,"283 Adams St, Brooklyn, NY 11201",Urban Assembly Institute of Math and Science for Y,High School,322,0.76,0.87,0.82,0.91,0.92,0.92,1,0,0.087,0.565,0.18,0.016,0.025,0.115,0.858,0.559,0,0.967,0.77,No Data,0.297,0.23,0.068,0.054,0.108,0,0.131,0.328,0.508,432,448
13K594,"561 Grand Ave, Brooklyn, NY 11238",Gotham Professional Arts Academy,High School,172,0.92,0.92,0.91,0.96,0.88,0.87,0.593,0.407,0.012,0.692,0.256,0.006,0,0.029,0.8,0.311,0.211,0.882,0.486,0.524,0.138,0.069,0.017,0.052,0.224,0,0,0.015,0.059,362,411
13K595,"1119 Bedford Ave, Brooklyn, NY 11216",Bedford Academy High School,High School,396,0.7,0.83,0.83,0.89,0.94,0.88,0.51,0.49,0.038,0.778,0.093,0.018,0.005,0.04,0.939,0.765,0.825,0.976,0.894,0.722,0.072,0.157,0.169,0.217,0.205,0,0.361,0.361,0.771,493,495
13K605,"05 Tech Pl, Brooklyn, NY 11201",George Westinghouse Career and Technical Education,High School,714,0.69,0.79,0.8,0.88,0.86,0.9,0.305,0.695,0.031,0.669,0.266,0.01,0.006,0.014,0.844,0.605,0.657,0.906,0.75,0.618,0.322,0.158,0.041,0.058,0.064,0,0.127,0.188,0.077,437,438
13K670,"71-77 Clinton Ave, Brooklyn, NY 11205",Benjamin Banneker Academy,High School,887,0.77,0.94,0.81,0.97,0.92,0.94,0.516,0.484,0.039,0.77,0.142,0.01,0.01,0.011,0.901,0.696,0.649,0.963,0.849,0.62,0.185,0.166,0.166,0.096,0.134,0,0.304,0.335,0.618,487,478
13K674,"105 Tech Pl, Brooklyn, NY 11201","City Polytechnic High School of Engineering, Archi",High School,465,0.66,0.7,0.79,0.8,0.92,0.87,0.176,0.824,0.056,0.617,0.247,0.011,0.009,0.052,0.85,0.671,0.543,0.962,No Data,0.672,0.213,0.213,0.025,0.025,0.113,0.125,0.25,0.25,0.375,465,461
14K071,"215 Heyward St, Brooklyn, NY 11206",Juan Morel Campos Secondary School,High School,317,0.8,0.89,0.87,0.89,0.94,0.93,0.451,0.549,0.006,0.215,0.694,0,0,0.073,0.779,0.463,0.385,0.548,0.684,0.5,0.288,0.1,0.013,0.1,0.063,0,0,0.023,0.172,388,392
14K449,"223 Graham Ave, Brooklyn, NY 11206","Brooklyn Latin School, The",High School,808,0.81,0.9,0.79,0.93,0.84,0.94,0.459,0.541,0.537,0.129,0.106,0.014,0.012,0.134,0.949,0.865,0.861,0.975,0.861,0.841,0.026,0.279,0.104,0.286,0.156,0,0.944,0.012,0.037,675,640
14K454,"223 Graham Ave, Brooklyn, NY 11206",The Williamsburg High School of Art and Technology,High School,385,0.64,0.95,0.87,0.94,0.89,0.92,0.387,0.613,0.023,0.242,0.662,0.003,0.008,0.042,0.91,0.669,0.706,0.959,0.367,0.455,0.25,0.038,0.019,0,0.096,0,0.026,0.079,0.118,410,412
14K474,"850 Grand St, Brooklyn, NY 11211",PROGRESS High School for Professional Careers,High School,548,0.71,0.9,0.75,0.91,0.86,0.93,0.495,0.505,0.015,0.246,0.704,0.004,0,0.024,0.779,0.562,0.374,0.717,0.363,0.226,0.156,0.029,0.017,0.023,0.064,0,0.048,0.045,0.084,404,413
14K477,"850 Grand St, Brooklyn, NY 11211",East Williamsburg Scholars Academy,High School,327,0.7,0.89,0.79,0.85,0.85,0.89,0.437,0.563,0.015,0.291,0.648,0.006,0.003,0.024,0.83,0.636,0.528,0.78,0.372,0.279,0.14,0.093,0.047,0,0.047,0,0.04,0.11,0.2,409,415
14K478,"850 Grand St, Brooklyn, NY 11211","The High School for Enterprise, Business and Techn",High School,692,0.59,0.64,0.7,0.59,0.8,0.75,0.345,0.655,0.061,0.275,0.601,0.014,0.013,0.032,0.84,0.635,0.596,0.847,0.667,0.493,0.232,0.159,0.059,0.041,0.068,0,0.108,0.123,0.069,439,440
14K488,"257 N 6th St, Brooklyn, NY 11211",Brooklyn Preparatory High School,High School,521,0.81,0.95,0.89,0.96,0.93,0.97,0.607,0.393,0.008,0.397,0.566,0,0.002,0.013,0.645,0.127,0.086,0.944,0.787,0.702,0.243,0.279,0.074,0.096,0.066,0,0.111,0.324,0.148,433,458
14K558,"257 N 6th St, Brooklyn, NY 11211",Williamsburg High School for Architecture and Desi,High School,607,0.78,0.93,0.87,0.95,0.9,0.93,0.277,0.723,0.018,0.288,0.605,0.015,0.002,0.068,0.932,0.864,0.816,0.98,0.81,0.695,0.262,0.262,0.048,0.04,0.079,0,0.136,0.344,0.224,438,456
14K561,"257 N 6th St, Brooklyn, NY 11211",Williamsburg Preparatory School,High School,719,0.76,0.89,0.83,0.92,0.93,0.95,0.541,0.459,0.026,0.2,0.673,0.008,0.01,0.061,0.913,0.794,0.704,0.988,0.868,0.613,0.269,0.25,0.032,0.103,0.083,0,0.198,0.343,0.221,458,456
14K586,"223 Graham Ave, Brooklyn, NY 11206",Lyons Community School,High School,274,0.76,0.91,0.83,0.89,0.95,0.95,0.493,0.507,0,0.332,0.628,0,0.004,0.033,0.675,0.101,0.098,0.786,0.629,0.289,0.274,0.123,0,0,0.055,0,0.086,0,0.229,414,428
14K610,"50 Bedford Ave, Brooklyn, NY 11222",A-Tech High School,High School,337,0.77,0.95,0.86,0.95,0.9,0.95,0.104,0.896,0.036,0.401,0.501,0.021,0,0.027,0.832,0.545,0.503,0.855,No Data,0.456,0.209,0.047,0,0.047,0.163,0,0.066,0.178,0.276,408,411
14K614,"325 Bushwick Ave, Brooklyn, NY 11206",Young Women's Leadership School of Brooklyn,High School,261,0.7,0.74,0.76,0.77,0.91,0.85,1,0,0.038,0.479,0.398,0.011,0.011,0.031,0.841,0.481,0,0.965,0.681,No Data,0.234,0.149,0.149,0.064,0.085,0,0.088,0.377,0.193,437,455
14K685,"250 Hooper St, Brooklyn, NY 11211",El Puente Academy for Peace and Justice,High School,223,0.81,0.87,0.87,0.9,0.9,0.94,0.422,0.578,0.004,0.067,0.892,0,0,0.027,0.867,0.713,0.682,0.766,0.6,0.138,0.122,0.041,0.02,0.061,0.082,0,0.021,0,0.128,387,408
15K429,"284 Baltic St, Brooklyn, NY 11201",Digital Arts and Cinema Technology High School,High School,342,0.74,0.84,0.83,0.85,0.89,0.88,0.442,0.558,0.02,0.43,0.436,0.009,0,0.07,0.893,0.695,0.616,0.972,0.824,0.688,0.242,0.152,0.121,0.091,0.152,0,0.069,0.243,0.056,426,437
15K448,"610 Henry St, Brooklyn, NY 11231",Brooklyn Collaborative Studies,High School,395,0.77,0.9,0.86,0.9,0.93,0.94,0.504,0.496,0.043,0.41,0.385,0.005,0.003,0.134,0.728,0.269,0.26,0.925,0.795,0.548,0.267,0.198,0.058,0.07,0.081,0,0.151,0,0.086,435,440
15K462,"237 7th Ave, Brooklyn, NY 11215",John Jay School for Law,High School,494,0.7,0.71,0.8,0.75,0.91,0.82,0.565,0.435,0.018,0.555,0.354,0.018,0.004,0.045,0.854,0.637,0.539,0.862,0.746,0.593,0.267,0.178,0.1,0.044,0.111,0,0.145,0.323,0.036,451,456
15K463,"237 7th Ave, Brooklyn, NY 11215",Cyberarts Studio Academy,High School,239,0.73,0.96,0.82,0.98,0.76,0.91,0.485,0.515,0.021,0.456,0.41,0.013,0.008,0.067,0.834,0.548,0.45,0.708,0.667,0.393,0.259,0.207,0.034,0,0.034,0,0.04,0.11,0.04,420,422
15K464,"237 7th Ave #3405, Brooklyn, NY 11215",Park Slope Collegiate,High School,395,0.77,0.87,0.84,0.9,0.92,0.92,0.438,0.562,0.048,0.377,0.433,0.005,0.013,0.096,0.694,0.387,0.314,0.813,0.787,0.554,0.252,0.184,0.068,0.107,0.049,0,0.16,0.148,0.185,448,448
15K497,"284 Baltic St, Brooklyn, NY 11201",The Boerum Hill School for International Studies,High School,339,0.75,0.91,0.8,0.86,0.88,0.88,0.451,0.549,0.024,0.324,0.327,0.009,0.006,0.245,0.865,0.742,0.613,0.922,0.75,0.545,0.278,0.111,0.037,0.111,0.13,0,0.176,0.118,0.118,448,457
15K519,"284 Baltic St, Brooklyn, NY 11201",Cobble Hill School of American Studies,High School,479,0.8,0.85,0.82,0.86,0.88,0.86,0.562,0.438,0.038,0.595,0.303,0.008,0.01,0.031,0.742,0.555,0.394,0.84,0.754,0.59,0.331,0.068,0.034,0.076,0.144,0,0.05,0.134,0.412,409,419
15K592,"362 Schermerhorn St, Brooklyn, NY 11217",Khalil Gibran International Academy,High School,160,0.82,0.89,0.84,0.93,0.93,0.96,0.381,0.619,0.2,0.331,0.181,0.019,0.013,0.219,0.857,0.848,0.588,0.811,0.65,0.414,0.102,0.347,0,0,0.061,0,0.057,0.019,0.019,436,417
15K656,"345 Dean St, Brooklyn, NY 11217",Brooklyn High School of the Arts,High School,954,0.77,0.9,0.83,0.93,0.94,0.93,0.756,0.244,0.042,0.585,0.26,0.006,0.002,0.053,0.879,0.658,0.626,0.935,0.726,0.642,0.266,0.126,0.095,0.06,0.156,0,0.111,0.311,0.12,446,471
15K667,"153 35th St, Brooklyn, NY 11232",Sunset Park High School,High School,1306,0.72,0.78,0.82,0.78,0.8,0.83,0.459,0.541,0.12,0.07,0.709,0.005,0.005,0.081,0.765,0.37,0.326,0.888,0.735,0.493,0.411,0.139,0.011,0.029,0.018,0,0.137,0.137,0.663,443,429
15K684,"237 7th Ave, Brooklyn, NY 11215",Millennium Brooklyn HS,High School,691,0.87,0.89,0.87,0.9,0.91,0.93,0.59,0.41,0.168,0.116,0.166,0.001,0.004,0.456,0.995,1,1,0.994,0.91,0.935,0.039,0.445,0.155,0.142,0.142,0,0.838,0.867,0.145,608,604
16K455,"1700 Fulton St, Brooklyn, NY 11213",Boys and Girls High School,High School,452,0.72,0.88,0.81,0.85,0.88,0.87,0.319,0.681,0.004,0.783,0.157,0.015,0.002,0.022,0.755,0.533,0.518,0.827,0.485,0.323,0.102,0.02,0.071,0.061,0.112,0,0.013,0.065,0.117,399,402
19K639,"999 Jamaica Ave, Brooklyn, NY 11208",Brooklyn Lab School,High School,400,0.78,0.91,0.86,0.95,0.91,0.95,0.353,0.648,0.105,0.253,0.56,0.018,0.013,0.03,0.839,0.625,0.592,0.986,0.537,0.468,0.273,0.136,0.068,0,0.023,0,0.097,0.215,0.139,412,402
16K498,"1396 Broadway, Brooklyn, NY 11221",Brooklyn High School for Law and Technology,High School,613,0.69,0.72,0.76,0.74,0.81,0.84,0.429,0.571,0.047,0.586,0.31,0.008,0.002,0.029,0.763,0.53,0.514,0.833,0.648,0.684,0.234,0.225,0.009,0.009,0.189,0,0.11,0.22,0.092,438,439
16K688,"125 Stuyvesant Ave, Brooklyn, NY 11221",The Brooklyn Academy of Global Finance,High School,132,0.74,0.9,0.86,0.98,0.84,0.93,0.409,0.591,0.106,0.576,0.258,0.015,0.023,0.015,0.86,0.709,0.531,0.826,No Data,0.429,0.212,0.061,0.061,0.03,0.121,0,0.042,0.063,0,383,387
16K765,"1700 Fulton St, Brooklyn, NY 11213",Nelson Mandela High School,High School,189,0.75,0.9,0.85,0.91,0.91,0.9,0.386,0.614,0,0.836,0.122,0.026,0,0.005,0.817,0.571,0.466,0.909,0.333,0.368,0.216,0.027,0.027,0,0.081,0,0,0.111,0.022,0,0
17K122,"150 Albany Ave, Brooklyn, NY 11213",Pathways in Technology Early College High School (,High School,556,0.79,0.84,0.81,0.86,0.86,0.9,0.266,0.734,0.014,0.815,0.133,0.016,0.007,0.011,0.795,0.574,0.469,0.783,0.742,0.544,0.05,0.074,0.05,0.025,0.041,0.355,0.123,0.009,0.613,436,435
17K382,"911 Flatbush Ave, Brooklyn, NY 11226",Academy for College Preparation and Career Explora,High School,208,0.75,0.87,0.8,0.9,0.87,0.91,0.394,0.606,0.014,0.774,0.173,0.005,0.005,0.024,0.89,0.747,0.664,0.8,0.478,0.39,0.25,0.031,0.047,0.031,0.063,0,0.05,0.05,0.05,403,401
17K408,"911 Flatbush Ave, Brooklyn, NY 11226",Academy of Hospitality and Tourism,High School,277,0.78,0.86,0.81,0.88,0.86,0.88,0.531,0.469,0.04,0.682,0.235,0.004,0,0.032,0.82,0.583,0.5,0.836,0.833,0.344,0.125,0.25,0.036,0.018,0.125,0,0,0.025,0.377,380,398
17K524,"883 Classon Ave, Brooklyn, NY 11225",International High School at Prospect Heights,High School,323,0.85,0.96,0.92,0.92,0.96,0.96,0.415,0.585,0.093,0.241,0.539,0.015,0.022,0.08,0.805,0.617,0.416,0.807,0.486,0.462,0.41,0.03,0,0.03,0,0,0.012,0.235,0.06,386,392
17K528,"883 Classon Ave, Brooklyn, NY 11225",The High School for Global Citizenship,High School,240,0.7,0.73,0.82,0.8,0.89,0.88,0.304,0.696,0.033,0.733,0.175,0.013,0.013,0.025,0.935,0.882,0.869,0.87,0.75,0.59,0.345,0.127,0.073,0.018,0.073,0,0.152,0.272,0.196,427,433
17K531,"600 Kingston Ave, Brooklyn, NY 11203","School for Human Rights, The",High School,279,0.64,0.77,0.77,0.76,0.89,0.83,0.462,0.538,0.014,0.878,0.079,0.007,0.004,0.014,0.785,0.576,0.516,0.885,0.778,0.421,0.297,0.23,0.014,0.014,0.041,0,0.064,0.16,0.141,415,425
17K537,"911 Flatbush Ave, Brooklyn, NY 11226",High School for Youth and Community Development at,High School,464,0.73,0.9,0.82,0.93,0.97,0.93,0.3,0.7,0.034,0.754,0.157,0.015,0.004,0.034,0.863,0.601,0.57,0.855,0.405,0.47,0.192,0.058,0.117,0.008,0.075,0,0.031,0.053,0.008,399,412
17K539,"911 Flatbush Ave, Brooklyn, NY 11226",High School for Service & Learning at Erasmus,High School,259,0.72,0.87,0.82,0.89,0.86,0.85,0.375,0.625,0.031,0.71,0.208,0.012,0,0.023,0.814,0.491,0.455,0.853,0.667,0.385,0.288,0.076,0.045,0.045,0.045,0,0.029,0.043,0.014,400,395
17K543,"911 Flatbush Ave, Brooklyn, NY 11226","Science, Technology and Research Early College Hig",High School,399,0.84,0.97,0.82,0.98,0.9,0.94,0.451,0.549,0.053,0.772,0.125,0.015,0,0.023,0.915,0.815,0.638,1,0.84,0.721,0.129,0.29,0.065,0.075,0.226,0,0.459,0.312,0.824,509,499
17K546,"600 Kingston Ave, Brooklyn, NY 11203",High School for Public Service: Heroes of Tomorrow,High School,519,0.8,0.91,0.84,0.9,0.89,0.95,0.634,0.366,0.025,0.748,0.16,0.013,0.017,0.021,0.828,0.6,0.443,0.917,0.867,0.621,0.298,0.288,0.058,0.067,0.087,0,0.176,0.389,0.093,454,470
17K547,"883 Classon Ave, Brooklyn, NY 11225",Brooklyn Academy of Science and the Environment,High School,332,0.76,0.9,0.81,0.9,0.92,0.93,0.407,0.593,0.048,0.705,0.163,0.006,0.009,0.048,0.863,0.727,0.592,0.826,0.605,0.385,0.222,0.167,0.011,0.011,0.067,0,0.12,0.207,0.043,434,456
17K548,"883 Classon Ave, Brooklyn, NY 11225",Brooklyn School for Music & Theatre,High School,292,0.68,0.84,0.74,0.87,0.95,0.91,0.668,0.332,0.014,0.743,0.226,0,0.003,0.007,0.791,0.482,0.378,0.818,0.531,0.545,0.296,0.074,0.019,0.056,0.093,0,0.015,0.104,0,392,412
17K590,"1186 Carroll St, Brooklyn, NY 11225",Medgar Evers College Preparatory School,High School,928,0.75,0.81,0.76,0.86,0.87,0.82,0.572,0.428,0.016,0.869,0.047,0.027,0.008,0.011,0.908,0.754,0.714,0.962,0.865,0.721,0.157,0.244,0.102,0.112,0.162,0.025,0.607,0.778,0.201,547,540
17K600,"901 Classon Ave, Brooklyn, NY 11225",Clara Barton High School,High School,1331,0.71,0.83,0.72,0.85,0.86,0.85,0.772,0.228,0.01,0.85,0.099,0.011,0.004,0.014,0.782,0.445,0.357,0.796,0.651,0.292,0.375,0.067,0.028,0.06,0.039,0,0.061,0.047,0.327,418,426
17K745,"600 Kingston Ave, Brooklyn, NY 11203",Brooklyn Institute for Liberal Arts,High School,523,0.8,0.88,0.82,0.9,0.92,0.9,0.491,0.509,0.013,0.815,0.153,0.006,0.006,0.008,0.88,0.799,0.645,0.916,0.781,0.524,0.264,0.151,0.104,0.047,0.113,0,0.116,0.205,0.116,431,446
17K751,"150 Albany Ave, Brooklyn, NY 11213",Academy for Health Careers,High School,280,0.77,0.85,0.79,0.87,0.85,0.92,0.714,0.286,0.054,0.739,0.164,0.014,0.004,0.014,0.8,0.572,0.388,0.891,0.667,0.455,0.329,0.183,0.012,0.024,0.061,0,0.018,0.145,0.127,401,418
18K563,"5800 Tilden Ave, Brooklyn, NY 11203",It Takes a Village Academy,High School,486,0.73,0.83,0.75,0.83,0.9,0.87,0.42,0.58,0.021,0.84,0.086,0.016,0.002,0.029,0.788,0.618,0.45,0.802,0.736,0.449,0.273,0.11,0.019,0.096,0.077,0,0.073,0.133,0.315,422,429
18K566,"6565 Flatlands Ave, Brooklyn, NY 11236",Brooklyn Community High School for Excellence and,High School,206,0.72,0.85,0.84,0.86,0.93,0.91,0.325,0.675,0.005,0.786,0.121,0.015,0,0.063,0.772,0.4,0.303,0.837,0.444,0.325,0.172,0.069,0.017,0.017,0.086,0,0.082,0.112,0.082,415,417
18K567," 6565 Flatlands Ave, Brooklyn, NY 11236",Brooklyn Theatre Arts High School,High School,278,0.76,0.85,0.77,0.91,0.87,0.91,0.586,0.414,0.011,0.781,0.155,0.014,0.004,0.029,0.733,0.353,0.205,0.763,0.471,0.268,0.152,0.033,0.065,0.043,0.087,0,0,0.119,0.1,395,419
18K569,"5800 Tilden Ave, Brooklyn, NY 11203",Kurt Hahn Expeditionary Learning School,High School,214,0.61,0.58,0.7,0.66,0.84,0.81,0.313,0.687,0,0.813,0.145,0.014,0.005,0.023,0.617,0.116,0.081,0.685,0.765,0.526,0.374,0.066,0,0.033,0.143,0,0.027,0.123,0.11,401,413
18K576,"6565 Flatlands Ave, Brooklyn, NY 11236",Victory Collegiate High School,High School,283,0.67,0.78,0.72,0.85,0.95,0.93,0.417,0.583,0.025,0.735,0.12,0.007,0.007,0.088,0.727,0.454,0.225,0.855,0.725,0.459,0.26,0.065,0.156,0.052,0.065,0,0.043,0.21,0.087,400,417
18K617,"1600 Rockaway Pkwy, Brooklyn, NY 11236",High School for Innovation in Advertising and Medi,High School,212,0.8,0.82,0.87,0.82,0.92,0.91,0.231,0.769,0.014,0.83,0.094,0.005,0.005,0.052,0.806,0.49,0.497,0.782,No Data,0.545,0.241,0.086,0.017,0.034,0.155,0,0.091,0.136,0,416,432
18K629,"5800 Tilden Ave, Brooklyn, NY 11203",Cultural Academy for the Arts and Sciences,High School,222,0.6,0.84,0.79,0.96,0.9,0.92,0.473,0.527,0.009,0.82,0.131,0.005,0.005,0.018,0.771,0.548,0.491,0.871,0.788,0.476,0.347,0.08,0.04,0.04,0.107,0,0,0.153,0.258,398,427
18K633,"1600 Rockaway Pkwy, Brooklyn, NY 11236",High School for Medical Professions,High School,475,0.68,0.81,0.77,0.83,0.87,0.89,0.686,0.314,0.021,0.777,0.141,0.008,0.008,0.034,0.865,0.689,0.542,0.897,0.77,0.606,0.33,0.138,0.032,0.096,0.117,0,0.085,0.171,0,425,446
18K637,"6565 Flatlands Ave, Brooklyn, NY 11236",Academy for Conservation and the Environment,High School,351,0.8,0.87,0.81,0.92,0.89,0.92,0.382,0.618,0.054,0.684,0.114,0.046,0.009,0.06,0.967,0.985,0.967,0.955,0.741,0.489,0.284,0.162,0.027,0.027,0.068,0.014,0.03,0.104,0.015,394,410
18K642,"1600 Rockaway Pkwy, Brooklyn, NY 11236",Urban Action Academy,High School,174,0.75,0.86,0.85,0.92,0.94,0.93,0.374,0.626,0.011,0.799,0.121,0.011,0,0.057,0.755,0.471,0.461,0.66,0.259,0.311,0.167,0.028,0.028,0,0.069,0,0.042,0.063,0.021,381,411
19K404,"1065 Elton St, Brooklyn, NY 11239",Academy for Young Writers,High School,361,0.7,0.79,0.76,0.82,0.92,0.89,0.596,0.404,0.025,0.643,0.294,0.011,0.006,0.019,0.789,0.447,0.385,0.921,0.627,0.481,0.141,0.128,0.013,0.077,0.218,0,0.091,0.188,0.039,429,454
19K409,"760 Van Siclen Ave, Brooklyn, NY 11207",East New York Family Academy,High School,339,0.8,0.94,0.84,0.98,0.93,0.95,0.448,0.552,0.032,0.702,0.227,0.018,0.006,0.006,0.895,0.697,0.6,0.985,0.676,0.583,0.241,0.19,0.034,0.017,0.155,0,0.106,0.303,0,450,445
19K422,"1065 Elton St, Brooklyn, NY 11239",Spring Creek Community School,High School,316,0.72,0.68,0.76,0.69,0.87,0.76,0.415,0.585,0.016,0.703,0.231,0.009,0.003,0.016,0.893,0.771,0.651,0.839,0.694,0.667,0.275,0.159,0.101,0.014,0.13,0,0.065,0.145,0.032,414,422
19K502,"400 Granville Payne Ave, Brooklyn, NY 11207",FDNY - Captain Vernon A. Richard High School for F,High School,275,0.77,0.9,0.82,0.94,0.88,0.9,0.211,0.789,0.018,0.625,0.302,0.018,0.004,0.025,0.779,0.491,0.491,0.741,0.316,0.238,0.18,0.049,0,0,0.033,0,0.019,0.046,0.111,399,407
19K504,"400 Granville Payne Ave, Brooklyn, NY 11207",High School for Civil Rights,High School,195,0.79,0.86,0.83,0.95,0.89,0.92,0.405,0.595,0.01,0.621,0.323,0.01,0,0.026,0.73,0.434,0.252,0.714,0.406,0.25,0.103,0.088,0.059,0,0.074,0,0.016,0.048,0.016,385,400
19K507,"400 Granville Payne Ave, Brooklyn, NY 11207",Performing Arts and Technology High School,High School,359,0.76,0.85,0.83,0.89,0.87,0.9,0.607,0.393,0.008,0.63,0.326,0.014,0.008,0.011,0.914,0.758,0.657,0.867,0.544,0.283,0.204,0.107,0.049,0.019,0.049,0,0.04,0.24,0.147,400,407
19K510," 400 Granville Payne Ave, Brooklyn, NY 11207",World Academy for Total Community Health High Scho,High School,169,0.72,0.95,0.82,0.96,0.9,0.96,0.538,0.462,0.012,0.639,0.266,0.03,0.012,0.041,0.807,0.526,0.432,0.696,0.594,0.333,0.323,0.113,0,0.016,0.016,0,0,0.018,0.232,378,396
19K583,"999 Jamaica Ave, Brooklyn, NY 11208",Multicultural High School,High School,284,0.77,0.97,0.87,0.96,1,0.95,0.44,0.56,0,0.025,0.975,0,0,0,0.849,0.638,0.494,0.875,0.485,0.382,0.358,0.075,0,0,0,0,0.014,0.75,0.514,382,378
19K615,"1 Wells St, Brooklyn, NY 11208",Transit Tech Career and Technical Education High S,High School,862,0.76,0.87,0.8,0.86,0.91,0.88,0.13,0.87,0.071,0.572,0.277,0.034,0.003,0.026,0.805,0.563,0.482,0.868,0.92,0.64,0.456,0.154,0.022,0,0.022,0,0.03,0.114,0,404,419
19K618,"999 Jamaica Ave, Brooklyn, NY 11208",Academy of Innovative Technology,High School,455,0.77,0.86,0.82,0.87,0.94,0.93,0.209,0.791,0.053,0.336,0.552,0.018,0.007,0.022,0.804,0.542,0.461,0.915,No Data,0.495,0.279,0.077,0.01,0.058,0.087,0,0.159,0.182,0.019,450,447
19K659,"999 Jamaica Ave, Brooklyn, NY 11208",Cypress Hills Collegiate Preparatory School,High School,373,0.76,0.84,0.84,0.87,0.82,0.89,0.461,0.539,0.118,0.131,0.7,0.011,0.005,0.021,0.89,0.76,0.573,0.914,0.958,0.488,0.4,0.154,0,0.031,0.031,0,0.054,0.242,0.032,419,415
19K660," 145 Pennsylvania Ave, Brooklyn, NY 11207",W. H. Maxwell Career and Technical Education High,High School,401,0.74,0.92,0.79,0.93,0.83,0.91,0.648,0.352,0.017,0.601,0.329,0.015,0.005,0.03,0.869,0.633,0.507,0.843,0.479,0.364,0.231,0.096,0,0.067,0.048,0,0.043,0.054,0.076,402,412
19K683,"370 Fountain Ave, Brooklyn, NY 11208",School for Classics High School,High School,240,0.78,0.92,0.84,0.96,0.92,0.94,0.488,0.513,0.138,0.417,0.363,0.021,0.008,0.05,0.747,0.451,0.467,0.816,0.577,0.267,0.171,0.11,0.073,0.024,0.085,0,0,0.18,0.04,393,403
