,x,y,borough
0,-314.6213435,-150.6431367,Manhattan
1,-81.23912182,9.173410226,Manhattan
2,-267.1503045,-45.57570026,Manhattan
3,-62.73288809,218.3576746,Manhattan
4,-99.80086491,237.2043279,Manhattan
5,-386.4469635,-169.3494707,Manhattan
6,-346.0377771,-135.4192762,Manhattan
7,-213.4309613,-106.7598389,Manhattan
8,-194.9854712,127.6434444,Manhattan
9,-176.1187849,-51.88741092,Manhattan
10,-146.0162716,-63.74782961,Manhattan
11,-198.6077267,-114.6394928,Manhattan
12,-247.943326,-118.2410024,Manhattan
13,-283.2536003,-160.6356868,Manhattan
14,-49.43232126,-6.24572683,Manhattan
15,-353.3142128,-158.0554282,Manhattan
16,-276.2605757,-154.898286,Manhattan
17,-267.1102407,-126.3659031,Manhattan
18,-255.8043828,-166.9142944,Manhattan
19,-440.1956596,-236.6534979,Manhattan
20,-152.8138155,-45.25854806,Manhattan
21,-212.5051995,128.8276322,Manhattan
22,-217.1380263,-102.3568619,Manhattan
23,-164.1746405,-119.5154016,Manhattan
24,-368.7729097,-167.4470227,Manhattan
25,473.2537888,268.2467964,Manhattan
26,-363.7338851,-57.19367325,Manhattan
27,-195.8220271,36.62022978,Manhattan
28,-197.4021032,245.3009242,Manhattan
29,-200.0663268,105.5483408,Manhattan
30,-228.5006438,154.1536191,Manhattan
31,-223.9196742,21.15461656,Manhattan
32,-233.3112914,53.73487,Manhattan
33,-38.10870238,246.3772214,Manhattan
34,-237.628314,-152.1184247,Manhattan
35,985.510163,573.0323727,Manhattan
36,-238.9260844,-37.88810193,Manhattan
37,-254.3796336,-79.48828787,Manhattan
38,-312.4354062,-149.8221669,Manhattan
39,-396.6510683,-236.0953561,Manhattan
40,-340.4896887,-165.7724175,Manhattan
41,-242.8082897,-140.1029759,Manhattan
42,-291.030894,-183.4465259,Manhattan
43,-207.3003348,35.53743541,Manhattan
44,-181.6815041,-127.4659683,Manhattan
45,-300.2417184,-183.5225193,Manhattan
46,2308.692923,1464.023118,Manhattan
47,69.30308053,78.99344382,Manhattan
48,-305.5912736,-123.8870995,Manhattan
49,-245.9787545,-76.04248598,Manhattan
50,-187.014722,-33.58866696,Manhattan
51,-131.1732844,8.154541619,Manhattan
52,-459.7977172,-237.5385817,Manhattan
53,-407.5165299,-186.2591335,Manhattan
54,-383.8325253,-129.4444997,Manhattan
55,-205.4810604,-78.96595976,Manhattan
56,-182.7854803,-56.79281525,Manhattan
57,-110.1976398,-68.97558692,Manhattan
58,-107.3530266,-87.2112649,Manhattan
59,-61.38673945,-238.1732876,Manhattan
60,-199.986068,-24.71732446,Manhattan
61,-138.5087406,-0.389965103,Manhattan
62,-329.1905693,-137.0680624,Manhattan
63,911.1850953,467.6984708,Manhattan
64,-353.4450488,-151.9073715,Manhattan
65,-172.9570932,-66.41729679,Manhattan
66,749.2896489,436.0688991,Manhattan
67,-263.8322007,-126.4329915,Manhattan
68,-742.2256612,204.2140602,Manhattan
69,-399.1480564,-201.9664561,Manhattan
70,-251.1893023,-102.3908851,Manhattan
71,-305.3092239,-158.1036343,Manhattan
72,-161.2750845,-80.34626324,Manhattan
73,-309.106822,-206.6225525,Manhattan
74,686.2857381,577.2272324,Manhattan
75,1791.452371,1070.775444,Manhattan
76,-222.7432365,-96.05020967,Manhattan
77,-163.8021461,-91.59628852,Manhattan
78,-13.12713073,-191.9574924,Manhattan
79,-493.2418219,-28.55108405,Manhattan
80,-338.9752587,-227.855981,Manhattan
81,-301.9223526,-178.6898499,Manhattan
82,811.5674961,591.8496205,Manhattan
83,-161.1201547,81.61288719,Manhattan
84,-309.2464036,-70.59882206,Manhattan
85,-284.0587859,-149.2339462,Manhattan
86,-393.1121146,-206.3198854,Manhattan
87,-390.2483335,-233.6884278,Manhattan
88,-368.2468489,-261.1995439,Manhattan
89,-305.7835403,134.1811567,Manhattan
90,-216.4074381,-157.0065397,Manhattan
91,126.0943144,89.31329015,Manhattan
92,-10.58194874,-694.9048339,Manhattan
93,114.5743896,-273.4336662,Manhattan
94,-193.0730313,-105.6853644,Manhattan
95,-287.1148967,-60.96386239,Manhattan
96,-218.6578494,-132.6059392,Manhattan
97,-201.87267,-60.10090665,Manhattan
98,-236.5371096,-182.1329013,Manhattan
99,-257.894618,-215.7483003,Manhattan
100,-164.2814557,-113.9544975,Manhattan
101,-200.920376,-169.3745408,Manhattan
102,764.8876215,398.6656622,Manhattan
103,-77.02918238,-85.83775627,Manhattan
104,-235.0528587,-141.0530923,Bronx
105,-249.7620168,-52.01758367,Bronx
106,-103.746879,-110.7396539,Bronx
107,-190.9535051,-185.0572034,Bronx
108,-242.9024914,-213.6015354,Bronx
109,-340.4848153,-202.7858389,Bronx
110,-56.12655963,17.1633013,Bronx
111,-263.8913146,-76.7802529,Bronx
