,principal component 1,principal component 2,borough,clusters
139,0.996538113,-0.22434721,Bronx,2
140,-1.115369986,-0.241734074,Bronx,0
141,1.579870178,0.063165202,Bronx,2
142,0.285813761,-0.239813273,Bronx,0
143,-0.041413167,-0.545601309,Bronx,0
144,0.17557874,-0.146937256,Bronx,0
145,1.75005586,-0.255083957,Bronx,2
146,-0.755550257,-1.075751946,Bronx,0
147,1.426838659,-0.073782028,Bronx,2
148,2.474204118,0.286690075,Bronx,2
149,1.444637563,-0.148262412,Bronx,2
150,-0.510924097,-0.439252867,Bronx,0
151,-0.1286878,-0.227964614,Bronx,0
152,1.80706127,0.08192266,Bronx,2
153,1.544236851,-0.266495953,Bronx,2
154,2.127078377,-0.27070026,Bronx,2
155,1.001196802,-0.189823697,Bronx,2
156,0.123083922,-0.314572527,Bronx,0
157,-1.373312505,-0.099488948,Bronx,0
158,1.501966946,0.260925039,Bronx,2
159,0.617429116,0.065343509,Bronx,0
160,0.871024156,-0.170863271,Bronx,2
161,-0.626850836,-0.896646438,Bronx,0
162,0.506187436,0.029289518,Bronx,0
163,3.546195367,1.011135415,Bronx,2
164,0.785064522,-0.155993723,Bronx,0
165,0.938495052,-0.269325349,Bronx,2
166,1.710484765,0.919587028,Bronx,2
167,-0.761191388,-0.743966319,Bronx,0
168,0.147681889,0.209323389,Bronx,0
169,0.024504141,-0.685008334,Bronx,0
170,1.152074148,-0.212628441,Bronx,2
171,0.991837693,0.124405095,Bronx,2
172,-1.876931509,-0.814521661,Bronx,0
173,-0.615173121,-1.122527832,Bronx,0
174,-0.655239352,-0.832326497,Bronx,0
175,-0.065297184,0.269537025,Bronx,0
176,-1.077027548,-0.989442528,Bronx,0
177,-6.395191632,2.016678029,Bronx,1
178,-1.331709304,-0.751716768,Bronx,0
179,0.598245861,0.080497453,Bronx,0
180,1.481551726,-0.418115208,Bronx,2
181,0.707752785,-0.53155023,Bronx,0
182,0.448846782,-0.514160395,Bronx,0
183,0.022348925,-0.853051015,Bronx,0
184,-5.760361595,-1.02206172,Bronx,1
185,-1.729002627,-1.047166886,Bronx,0
186,-0.885419277,-0.557441828,Bronx,0
187,1.557054152,-0.105150918,Bronx,2
188,2.341600815,0.750413347,Bronx,2
189,1.0239032,-0.175780877,Bronx,2
190,0.034620381,-0.018811188,Bronx,0
191,-0.950552063,-0.056130511,Bronx,0
192,0.994477806,-0.256420264,Bronx,2
193,0.975765422,0.129256567,Bronx,2
194,0.586136655,2.188240209,Bronx,2
195,0.621806068,0.029742778,Bronx,0
196,0.157288982,-0.743150268,Bronx,0
197,-0.029560602,-0.454742503,Bronx,0
198,0.98383182,-0.274054128,Bronx,2
199,-0.838058862,-0.50964071,Bronx,0
200,1.614223497,-0.089499504,Bronx,2
