k,distortion
1,1.6741271666503734
2,1.223924144723008
3,1.0429980603043274
4,0.9430971273540282
5,0.8068959133825635
6,0.7100155899489391
7,0.6582532907737009
8,0.6303849740671247
9,0.5557958472099116
