,x,y,attribute
0,-0.363818718,0.536923267,satM
1,-0.299622171,0.566886022,satW
2,0.047903109,-0.972804295,enrollment
3,0.244832034,0.525809595,graduation
4,-0.64953573,-0.343786025,attendance
5,1.107810909,-0.46185182,zipIncome
6,-0.274927636,0.013895215,APScoresQual
7,0.187358203,0.13492804,ps_enroll
