satMath,satWrt,Graduation,APScoreQualified,ps_enroll_male,attendance,enrollment
431,448,0.938,0.054,0.667,0.807,296
497,469,0.985,0.362,0.726,0.86,570
496,502,0.924,0.247,0.872,0.975,377
624,617,0.985,0.816,0.845,0.947,664
643,643,0.95,0.006,0.944,0.942,636
452,444,0.967,0.177,0,0.812,222
451,468,0.909,0.245,0.371,0.862,272
429,452,0.876,0.267,0.517,0.764,406
586,607,0.976,0.012,0.781,0.93,505
462,476,0.921,0.245,0.417,0.812,460
444,459,0.943,0.171,0.758,0.813,484
427,434,0.815,0.117,0.366,0.818,417
428,456,0.978,0,0.633,0.846,370
426,420,0.802,0.213,0.455,0.702,322
462,463,0.752,0.257,0.782,0.744,595
450,442,0.842,0.298,0.425,0.843,257
412,438,0.818,0.144,0.524,0.812,331
436,449,0.883,0.35,0.613,0.876,349
399,423,0.803,0.053,0.45,0.859,346
408,431,0.743,0.114,0,0.697,147
440,490,0.965,0.279,0.676,0.923,483
594,610,1,0.586,0.935,0.924,489
441,449,0.932,0.17,0.627,0.866,404
415,418,0.866,0.117,0.623,0.79,447
443,446,0.8,0.089,0.529,0.732,239
484,476,0.933,0.361,0.693,0.898,1185
489,542,0.971,0.021,0.703,0.936,286
525,546,0.99,0.385,0.32,0.961,472
690,658,1,0.955,0.887,0.957,546
593,573,0.992,0.787,0.872,0.961,492
646,596,0.972,0.648,0.701,0.964,483
519,545,0.97,0.337,0.87,0.919,441
561,553,0.971,0.738,0.814,0.949,443
651,610,0.994,0.63,0.79,0.976,698
406,425,0.849,0.247,0.357,0.698,368
511,496,0.962,0.59,0.718,0.803,1780
493,500,0.971,0.049,0.778,0.913,406
469,475,0.831,0.259,0.404,0.861,377
440,439,0.88,0.25,0.65,0.906,298
401,409,0.661,0.298,0.567,0.836,188
437,437,0.84,0.213,0.476,0.819,266
424,427,0.872,0.271,0.548,0.826,367
418,401,0.862,0.043,0.617,0.786,307
556,515,1,0.639,0.941,0.967,461
411,421,0.67,0.068,0.547,0.948,428
414,410,0.685,0.205,0.359,0.788,298
774,728,0.993,0.929,0.945,0.973,3342
497,474,0.914,0.34,0.619,0.856,737
446,465,0.949,0.263,0.429,0.857,314
476,467,1,0.293,0.886,0.893,386
476,494,0.981,0.481,0.825,0.943,456
494,503,0.982,0.386,0.742,0.772,523
401,449,0.81,0.095,0,0.913,130
441,446,0.831,0.292,0.636,0.769,196
457,491,0.965,0.509,0,0.91,240
461,455,0.867,0.422,0.667,0.848,423
459,476,0.915,0.159,0.529,0.668,452
450,423,0.951,0.604,0.8,0.774,514
413,431,0.87,0.15,0.327,0.83,511
643,519,0.99,0.813,0.911,0.967,403
498,491,0.927,0.358,0.785,0.819,447
479,509,0.897,0.266,0.569,0.793,513
447,460,0.884,0.407,0.535,0.777,287
457,472,0.955,0.263,0.591,0.769,1667
425,470,0.942,0.225,0.714,0.926,261
458,457,0.889,0.194,0.69,0.741,458
488,506,0.93,0.48,0.669,0.927,1507
437,446,0.822,0.051,0.397,0.709,352
0,0,0,0,0,0.949,302
424,436,0.78,0.234,0.353,0.779,198
457,452,0.888,0.25,0.571,0.808,372
425,438,0.947,0.053,0.548,0.743,302
439,449,0.894,0.23,0.391,0.778,464
386,414,1,0.293,0.588,0.957,282
603,621,0.984,0.282,0.656,0.938,1509
613,609,0.984,0.745,0.791,0.907,2717
441,461,0.735,0.163,0.578,0.82,401
421,453,0.828,0.217,0.437,0.842,457
626,585,0.973,0.9,0.933,0.983,452
566,585,1,0.778,0.773,0.98,179
384,403,0.921,0.079,0.571,0.864,246
416,416,0.877,0.206,0.489,0.799,298
605,555,0.972,0.558,0.784,0.941,1629
571,541,0.992,0.696,0.86,0.953,520
493,494,1,0.576,0,0.859,329
429,434,0.75,0.066,0.556,0.876,325
421,429,0.723,0.032,0.522,0.704,202
406,403,0.793,0.017,0.303,0.883,195
361,400,0.822,0.054,0.128,0.712,207
647,610,0.968,0.66,0.878,0.943,404
405,406,0.813,0.098,0,0.819,386
474,474,0.83,0.338,0.495,0.802,794
0,0,0.844,0.097,0.643,0.755,379
735,677,1,0.989,0.882,0.927,496
423,448,0.9,0.02,0.462,0.861,425
502,484,1,0.227,0.75,0.902,353
426,421,0.913,0.49,0.548,0.944,392
472,469,0.921,0.569,0.784,0.845,433
395,394,0.941,0.138,0.513,0.811,359
369,388,0.865,0.129,0.234,0.916,328
420,421,0.683,0.171,0.138,0.721,449
392,393,0.727,0.089,0.255,0.918,396
478,459,0.842,0.201,0.492,0.751,1505
411,414,0.974,0.575,0.431,0.899,539
416,429,0.975,0.13,0.386,0.943,374
499,478,0.955,0.489,0.698,0.881,391
395,414,0.923,0.011,0.577,0.825,505
376,385,0.74,0.115,0.213,0.708,399
363,390,0.671,0,0.345,0.61,343
409,413,0.623,0.093,0.364,0.817,253
477,488,0.993,0.193,0.702,0.957,597
476,477,0.804,0.199,0.576,0.882,369
430,405,0.709,0.029,0.455,0.861,299
410,408,0.801,0.187,0.565,0.765,499
433,433,0.772,0.066,0.316,0.813,527
423,435,0.835,0.291,0.475,0.655,360
401,423,0.941,0.257,0.372,0.833,444
0,0,0,0,0,0.896,51
404,430,0.741,0.17,0.395,0.84,387
427,438,0.793,0.159,0.371,0.881,345
410,403,0.724,0.103,0,0.801,199
431,443,0.86,0.162,0.38,0.821,447
418,436,0.79,0.165,0.479,0.867,391
422,412,0.754,0.134,0.339,0.886,419
409,438,0.859,0.13,0.487,0.819,373
416,415,0.847,0.102,0.471,0.856,464
446,429,0.663,0,0.368,0.809,325
403,432,0.881,0.144,0.343,0.816,228
433,441,0.814,0.177,0.543,0.874,997
385,381,0.918,0.328,0.478,0.848,344
401,407,0.674,0.024,0.293,0.857,391
411,424,0.824,0.112,0.343,0.896,352
425,425,0.875,0.241,0.473,0.819,456
426,445,0.468,0.043,0.029,0.858,173
437,447,0.871,0.173,0.458,0.877,370
410,422,0.942,0.157,0.452,0.887,386
416,421,0.843,0.099,0.618,0.814,303
447,431,0.884,0.297,0.436,0.875,359
435,437,0.886,0.329,0.574,0.868,397
410,426,0.849,0,0.54,0.83,347
508,500,0.945,0.441,0.66,0.798,436
401,414,0.711,0.14,0.295,0.863,339
423,435,0.915,0.316,0.419,0.826,472
474,463,0.985,0,0.615,0.821,325
466,452,0.887,0.192,0.523,0.814,420
387,408,0.86,0.16,0,0.85,331
406,391,1,0.577,0.538,0.932,370
390,387,0.888,0.143,0.438,0.75,339
386,404,0.6,0.124,0.135,0.847,194
404,414,0.81,0.024,0.353,0.844,333
497,487,0.814,0.1,0.72,0.918,320
428,436,0.842,0.325,0.667,0.865,481
385,411,0.753,0.108,0.308,0.81,302
379,396,0.798,0.048,0.275,0.902,394
352,364,0.769,0.077,0.267,0.859,219
392,385,0.867,0.283,0.484,0.788,332
488,493,0.935,0.46,0,0.821,297
