satMath,satWrt,Graduation,APScoreQualified,ps_enroll_male,attendance,enrollment,borough
431,448,0.938,0.054,0.667,0.807,296,Manhattan
497,469,0.985,0.362,0.726,0.86,570,Manhattan
496,502,0.924,0.247,0.872,0.975,377,Manhattan
624,617,0.985,0.816,0.845,0.947,664,Manhattan
643,643,0.95,0.006,0.944,0.942,636,Manhattan
452,444,0.967,0.177,0,0.812,222,Manhattan
451,468,0.909,0.245,0.371,0.862,272,Manhattan
429,452,0.876,0.267,0.517,0.764,406,Manhattan
586,607,0.976,0.012,0.781,0.93,505,Manhattan
462,476,0.921,0.245,0.417,0.812,460,Manhattan
444,459,0.943,0.171,0.758,0.813,484,Manhattan
427,434,0.815,0.117,0.366,0.818,417,Manhattan
428,456,0.978,0,0.633,0.846,370,Manhattan
426,420,0.802,0.213,0.455,0.702,322,Manhattan
462,463,0.752,0.257,0.782,0.744,595,Manhattan
450,442,0.842,0.298,0.425,0.843,257,Manhattan
412,438,0.818,0.144,0.524,0.812,331,Manhattan
436,449,0.883,0.35,0.613,0.876,349,Manhattan
399,423,0.803,0.053,0.45,0.859,346,Manhattan
408,431,0.743,0.114,0,0.697,147,Manhattan
440,490,0.965,0.279,0.676,0.923,483,Manhattan
594,610,1,0.586,0.935,0.924,489,Manhattan
441,449,0.932,0.17,0.627,0.866,404,Manhattan
415,418,0.866,0.117,0.623,0.79,447,Manhattan
443,446,0.8,0.089,0.529,0.732,239,Manhattan
484,476,0.933,0.361,0.693,0.898,1185,Manhattan
489,542,0.971,0.021,0.703,0.936,286,Manhattan
525,546,0.99,0.385,0.32,0.961,472,Manhattan
690,658,1,0.955,0.887,0.957,546,Manhattan
593,573,0.992,0.787,0.872,0.961,492,Manhattan
646,596,0.972,0.648,0.701,0.964,483,Manhattan
519,545,0.97,0.337,0.87,0.919,441,Manhattan
561,553,0.971,0.738,0.814,0.949,443,Manhattan
651,610,0.994,0.63,0.79,0.976,698,Manhattan
406,425,0.849,0.247,0.357,0.698,368,Manhattan
511,496,0.962,0.59,0.718,0.803,1780,Manhattan
493,500,0.971,0.049,0.778,0.913,406,Manhattan
469,475,0.831,0.259,0.404,0.861,377,Manhattan
440,439,0.88,0.25,0.65,0.906,298,Manhattan
401,409,0.661,0.298,0.567,0.836,188,Manhattan
437,437,0.84,0.213,0.476,0.819,266,Manhattan
424,427,0.872,0.271,0.548,0.826,367,Manhattan
418,401,0.862,0.043,0.617,0.786,307,Manhattan
556,515,1,0.639,0.941,0.967,461,Manhattan
411,421,0.67,0.068,0.547,0.948,428,Manhattan
414,410,0.685,0.205,0.359,0.788,298,Manhattan
774,728,0.993,0.929,0.945,0.973,3342,Manhattan
497,474,0.914,0.34,0.619,0.856,737,Manhattan
446,465,0.949,0.263,0.429,0.857,314,Manhattan
476,467,1,0.293,0.886,0.893,386,Manhattan
476,494,0.981,0.481,0.825,0.943,456,Manhattan
494,503,0.982,0.386,0.742,0.772,523,Manhattan
401,449,0.81,0.095,0,0.913,130,Manhattan
441,446,0.831,0.292,0.636,0.769,196,Manhattan
457,491,0.965,0.509,0,0.91,240,Manhattan
461,455,0.867,0.422,0.667,0.848,423,Manhattan
459,476,0.915,0.159,0.529,0.668,452,Manhattan
450,423,0.951,0.604,0.8,0.774,514,Manhattan
413,431,0.87,0.15,0.327,0.83,511,Manhattan
643,519,0.99,0.813,0.911,0.967,403,Manhattan
498,491,0.927,0.358,0.785,0.819,447,Manhattan
479,509,0.897,0.266,0.569,0.793,513,Manhattan
447,460,0.884,0.407,0.535,0.777,287,Manhattan
457,472,0.955,0.263,0.591,0.769,1667,Manhattan
425,470,0.942,0.225,0.714,0.926,261,Manhattan
458,457,0.889,0.194,0.69,0.741,458,Manhattan
488,506,0.93,0.48,0.669,0.927,1507,Manhattan
437,446,0.822,0.051,0.397,0.709,352,Manhattan
0,0,0,0,0,0.949,302,Manhattan
424,436,0.78,0.234,0.353,0.779,198,Manhattan
457,452,0.888,0.25,0.571,0.808,372,Manhattan
425,438,0.947,0.053,0.548,0.743,302,Manhattan
439,449,0.894,0.23,0.391,0.778,464,Manhattan
386,414,1,0.293,0.588,0.957,282,Manhattan
603,621,0.984,0.282,0.656,0.938,1509,Manhattan
613,609,0.984,0.745,0.791,0.907,2717,Manhattan
441,461,0.735,0.163,0.578,0.82,401,Manhattan
421,453,0.828,0.217,0.437,0.842,457,Manhattan
