,x,y,borough,clusters
194,1410.313907,724.6974804,Bronx,2
195,-158.764342,-100.5942677,Bronx,0
196,-225.7176317,-181.8791651,Bronx,0
197,-256.7518358,-134.583741,Bronx,0
198,-251.7964393,-156.8377269,Bronx,2
199,-130.0590214,-55.33163732,Bronx,0
200,-269.0518289,-201.4736852,Bronx,2
201,-381.2328861,-227.1094528,Bronx,2
202,-239.8567935,-118.7291709,Bronx,0
203,-414.6251821,-256.6389909,Bronx,2
204,-267.9442027,-176.8430867,Bronx,2
205,-302.7008385,-133.6769585,Bronx,0
206,-203.2633499,-123.203552,Bronx,2
207,-217.0312032,-197.7133669,Bronx,0
208,-257.5946456,-111.1529692,Bronx,0
209,-323.1147006,-222.6209777,Bronx,2
210,-210.7749528,-131.3261141,Bronx,2
211,-151.4695599,-123.5572261,Bronx,2
212,-282.0601487,-202.2321129,Bronx,2
213,-123.6606952,-134.1761919,Bronx,2
214,-258.7869068,-161.2037523,Bronx,2
215,-377.6358336,-185.9300458,Brooklyn,0
216,-399.6007676,-262.9836688,Brooklyn,2
217,-74.8088632,-70.97662249,Brooklyn,2
218,-69.29251036,-15.57647372,Brooklyn,0
219,4681.066676,2450.711029,Brooklyn,1
220,-704.1873032,254.736204,Brooklyn,2
221,-171.549287,-64.44455408,Brooklyn,0
222,-291.0007857,-139.8375439,Brooklyn,0
223,-402.49027,-269.0267506,Brooklyn,2
224,-247.0173992,-44.70352685,Brooklyn,0
225,70.36448038,16.52038574,Brooklyn,0
226,205.537276,139.328877,Brooklyn,0
227,-168.9671406,-56.94187065,Brooklyn,0
228,-273.1160849,-204.2525096,Brooklyn,2
229,44.42470391,325.8719153,Brooklyn,1
230,-219.7712848,-150.6554564,Brooklyn,0
231,-66.64125279,-86.64367572,Brooklyn,2
232,-273.7211564,-172.2961749,Brooklyn,2
233,49.15979506,9.744152114,Brooklyn,0
234,-109.2124981,-55.6522539,Brooklyn,0
235,-31.1785062,-19.05024328,Brooklyn,0
236,65.57064125,39.83389805,Brooklyn,0
237,-326.139491,-182.0816631,Brooklyn,2
238,-263.4980963,-171.5312436,Brooklyn,2
239,-349.5915355,-156.6669817,Brooklyn,0
240,-361.4003907,-232.1726876,Brooklyn,2
241,-268.5237249,-142.6817295,Brooklyn,0
242,-222.2317001,-114.6942551,Brooklyn,2
243,-137.8297018,-57.32708289,Brooklyn,0
244,-357.6657173,-196.1525337,Brooklyn,2
245,-226.8981388,-101.9625254,Brooklyn,2
246,-280.7412306,-117.9831743,Brooklyn,0
247,-133.008725,-109.8562414,Brooklyn,2
248,-433.063096,-220.6631568,Brooklyn,2
249,277.5899771,141.7426953,Brooklyn,0
250,605.0313948,271.6768901,Brooklyn,0
251,-30.87968265,209.7720763,Brooklyn,1
252,-151.1410821,-137.2576068,Brooklyn,2
253,-203.185659,-150.0376402,Brooklyn,0
254,-22.079913,-25.2648217,Brooklyn,0
255,-438.8521493,-282.2189187,Brooklyn,2
256,-198.0494696,-763.9852586,Brooklyn,2
257,-72.9592312,-52.1883084,Brooklyn,2
258,-377.1443107,-231.881029,Brooklyn,2
259,-308.9497276,-221.3749061,Brooklyn,2
260,-267.1691798,-203.2728913,Brooklyn,2
261,-360.9126549,-184.8709439,Brooklyn,0
262,-321.0641482,-181.2790469,Brooklyn,2
263,-142.4876798,-126.4329055,Brooklyn,2
264,-329.2316708,-217.0478253,Brooklyn,2
265,-249.1662351,-30.43509566,Brooklyn,0
266,-118.5196679,-37.54735823,Brooklyn,0
267,-284.3797935,-129.6285312,Brooklyn,0
268,-301.1531451,-199.3081939,Brooklyn,2
269,211.646911,229.6315011,Brooklyn,1
270,635.9027435,264.7548108,Brooklyn,2
271,-104.4093663,-62.87939206,Brooklyn,0
272,-315.3547474,-194.3785111,Brooklyn,2
273,-132.3227511,-93.23186836,Brooklyn,2
274,-385.3286029,-215.5444294,Brooklyn,2
275,-316.0305107,-198.8233505,Brooklyn,2
276,-373.8252174,-223.5936965,Brooklyn,2
277,-312.2089154,-194.4321066,Brooklyn,2
278,-383.7010873,-203.526535,Brooklyn,2
279,-369.6472377,-214.0000692,Brooklyn,2
280,-146.9116906,-86.1139146,Brooklyn,0
281,-247.4541394,-175.7182194,Brooklyn,0
282,-405.6374055,-253.3617618,Brooklyn,2
283,-255.9572077,-122.3736592,Brooklyn,0
284,-278.6418343,-123.6204509,Brooklyn,0
285,-286.4788904,-169.0785576,Brooklyn,0
286,-317.0350282,-204.0569663,Brooklyn,2
287,-384.7560764,-248.7539222,Brooklyn,2
288,-240.7137179,-170.3731702,Brooklyn,0
289,-406.419682,-265.1985194,Brooklyn,2
290,-298.206321,-230.3029206,Brooklyn,0
291,219.4937328,48.12813465,Brooklyn,0
292,-171.8405377,-78.12894861,Brooklyn,0
293,-233.3709377,-148.2871446,Brooklyn,0
294,-203.0848159,-148.8330212,Brooklyn,2
295,-346.4062763,-224.1627282,Brooklyn,2
296,-269.3003053,-128.7714481,Brooklyn,0
297,-222.4720626,-772.7107896,Brooklyn,2
298,2636.684949,1277.199777,Brooklyn,0
299,536.2874371,331.5599036,Brooklyn,1
300,3831.934357,1256.068972,Brooklyn,1
301,2413.666751,1119.108465,Brooklyn,0
302,-278.6179511,-60.36478397,Brooklyn,0
303,-283.1305145,-177.4663173,Brooklyn,2
304,-69.84323592,-10.39452017,Brooklyn,0
305,-320.5401233,-189.521334,Brooklyn,2
306,1053.504137,517.4798047,Brooklyn,0
307,-223.7970305,-21.20525335,Brooklyn,0
308,2776.959936,1256.270054,Brooklyn,1
309,1436.9379,776.1526713,Brooklyn,0
310,-349.3613888,-176.2313446,Brooklyn,0
311,-222.2326731,-100.2219261,Brooklyn,0
312,-101.9783782,-99.809564,Brooklyn,2
313,-42.89207922,4.468306577,Brooklyn,0
314,3167.36997,1411.455434,Brooklyn,1
315,2950.37368,1257.239013,Brooklyn,1
316,237.2305574,356.021349,Brooklyn,1
317,-26.17408478,117.5848284,Brooklyn,1
318,-202.7328738,-113.3737282,Brooklyn,0
319,-227.6914605,-180.6581235,Brooklyn,2
320,-449.8514472,-225.4713452,Brooklyn,0
321,-233.1064958,-131.7803013,Brooklyn,0
322,-412.4980463,-280.8736664,Brooklyn,2
323,-336.6237633,-191.2325366,Queens,2
324,61.11620373,121.2313675,Queens,1
325,-218.072256,-123.1431995,Queens,0
326,6.188588494,18.77482623,Queens,0
327,-238.4150638,-179.4652581,Queens,0
328,-99.31556597,277.7161628,Queens,1
329,904.3866777,431.0576585,Queens,0
330,842.4355801,414.5223148,Queens,2
331,-115.3879927,-56.95113158,Queens,0
332,-99.66229285,-99.60093968,Queens,0
333,104.4532374,69.1180232,Queens,0
