Graduation,ps_enroll_male,APScoreQualified,satMath,satWrt,borough
0.6,0.135,0.124,386,404,Bronx
0.81,0.353,0.024,404,414,Bronx
0.814,0.72,0.1,497,487,Bronx
0.842,0.667,0.325,428,436,Bronx
0.753,0.308,0.108,385,411,Bronx
0.798,0.275,0.048,379,396,Bronx
0.769,0.267,0.077,352,364,Bronx
0.867,0.484,0.283,392,385,Bronx
0.935,0,0.46,488,493,Bronx
0.915,0.698,0.327,514,500,Bronx
0.78,0.314,0.091,431,435,Bronx
0.817,0.552,0.3,428,435,Bronx
0.828,0.423,0.129,419,430,Bronx
1,0.588,0.279,439,449,Bronx
0.815,0.6,0.117,446,450,Bronx
0.588,0.161,0.025,362,360,Bronx
0.83,0.472,0.22,414,422,Bronx
0.796,0.465,0.188,399,391,Bronx
0.882,0.393,0.24,412,431,Bronx
1,0.61,0.246,438,439,Bronx
0.821,0.692,0.192,438,464,Bronx
1,0.66,0,430,438,Bronx
0.792,0.339,0.141,395,410,Bronx
0.758,0.487,0.165,422,433,Bronx
0.952,0.75,0.637,486,473,Bronx
1,0.7,0.3,398,395,Bronx
0.976,0.686,0.214,439,446,Bronx
0.908,0.506,0.171,454,448,Bronx
1,0.742,0.258,439,448,Bronx
1,0.95,0.918,750,698,Bronx
0.991,0.688,0.415,480,466,Bronx
0.793,0.571,0.145,431,444,Bronx
0.868,0.45,0.148,343,365,Bronx
0.882,0.467,0.164,395,411,Bronx
0.908,0.379,0.17,419,413,Bronx
0.962,0.444,0.163,416,423,Bronx
0.989,0.945,1,716,713,Bronx
0.983,0.818,0.442,473,474,Bronx
0.983,0.721,0.154,475,472,Bronx
0.73,0.279,0.112,408,409,Bronx
0.795,0.538,0.006,396,408,Bronx
0.795,0.5,0.119,401,412,Bronx
0.821,0.612,0.209,454,465,Bronx
0.881,0.695,0.359,502,488,Bronx
0.917,0.393,0.089,408,423,Bronx
0.811,0.386,0.171,425,435,Bronx
0.828,0.399,0.088,427,440,Bronx
0.813,0.661,0.105,425,432,Bronx
0.945,0.458,0.377,396,388,Bronx
0.859,0.472,0.408,451,410,Bronx
0.849,0.293,0.192,409,424,Bronx
