,principal component 1,principal component 2,borough
0,0.27782089399818183,-0.4602331703539028,Manhattan
1,-1.279663678625938,-0.4509605485075372,Manhattan
2,-1.7188785467703118,-0.9382606231228383,Manhattan
3,-4.14054938660335,-0.5775663555752412,Manhattan
4,-2.9152822781741254,-0.39580978531454963,Manhattan
5,1.0462422367880333,-0.47413023108877833,Manhattan
6,0.11062591423220731,-0.5310468176241587,Manhattan
7,0.4767029244063892,0.010258296437670924,Manhattan
8,-2.1565688420439555,-0.5998084757358498,Manhattan
9,0.045760324454988566,-0.16115037310198577,Manhattan
10,-0.3145904950820304,-0.29788076084362985,Manhattan
11,1.0940747504613169,0.04391541089844844,Manhattan
12,0.10427814418621148,-0.6115755251838639,Manhattan
13,1.3805235482674334,0.3516204468976278,Manhattan
14,0.22403272706170677,0.6159227563408624,Manhattan
15,0.3545359067536509,-0.3237363584572447,Manhattan
16,0.8597799287547886,-0.09814764919232145,Manhattan
17,-0.3274253759888335,-0.5141343331008618,Manhattan
18,1.1550962627864305,-0.19738749642632653,Manhattan
19,2.6487815599047924,0.44576501540113295,Manhattan
20,-1.0331669704066015,-0.7453798470431771,Manhattan
21,-3.590147984956963,-0.7639566436473337,Manhattan
22,-0.17344638679131893,-0.5271648776446046,Manhattan
23,0.734272294820153,-0.04268456863117701,Manhattan
24,1.1615239183603008,0.17126496884970865,Manhattan
25,-1.3526287696890649,0.27502860428869874,Manhattan
26,-1.147187867906365,-0.9537704967305523,Manhattan
27,-1.5629066144335853,-0.7939251498750183,Manhattan
28,-5.078909336538803,-0.7488737274222979,Manhattan
29,-3.774211217462919,-0.8963353686094452,Manhattan
30,-3.5545537589719154,-0.7473244470020097,Manhattan
31,-2.1618110911975146,-0.761217909722032,Manhattan
32,-3.1848103883175916,-0.8659900180591465,Manhattan
33,-3.955229731964329,-0.6115157162402409,Manhattan
34,1.41973612820616,0.2947662602261774,Manhattan
35,-1.9307690042224313,1.2342762213283858,Manhattan
36,-1.065419113770926,-0.764424278047904,Manhattan
37,0.11911493385833156,-0.17930383688190277,Manhattan
38,-0.2732280550951809,-0.6726399189842845,Manhattan
39,1.1462436142444739,0.03378181369848265,Manhattan
40,0.6159739212036316,-0.23592415542733164,Manhattan
41,0.3444139374056254,-0.2726644142968791,Manhattan
42,1.0247977720746733,-0.174262249893163,Manhattan
43,-3.166109332656255,-1.0304857193862924,Manhattan
44,0.9402561005965758,-0.07285950839952005,Manhattan
45,1.7021597065486265,0.3466838992394835,Manhattan
46,-6.745705870567694,2.5726753874698853,Manhattan
47,-0.8841718688529974,-0.01144819541256434,Manhattan
48,-0.10027973030119282,-0.5973759167974666,Manhattan
49,-1.4475493360587357,-0.8797965235526948,Manhattan
50,-1.9954419244784087,-0.9242640426556558,Manhattan
51,-1.1376360484460668,-0.17320221493977864,Manhattan
52,1.5360136945517413,-0.5455119186088205,Manhattan
53,0.3722457724394185,-0.15383524484580857,Manhattan
54,-0.24182329239211803,-0.8229000681726965,Manhattan
55,-0.5693984930316984,-0.2794348716452282,Manhattan
56,0.6312529776560003,0.3507872852842366,Manhattan
57,-0.9001100734703836,-0.21427182570341569,Manhattan
58,0.9403786021387643,-0.050170354492530156,Manhattan
59,-3.847787481047176,-1.0073530625916964,Manhattan
60,-1.1150036143050313,-0.28925004130877424,Manhattan
61,-0.38394131340394655,0.022968924166212733,Manhattan
62,0.007538183227432739,-0.2016549655082198,Manhattan
63,-0.5110590055087441,1.2616522178229226,Manhattan
64,-0.6960757216081397,-0.9758960943092568,Manhattan
65,0.17309077559682523,0.11051021824394161,Manhattan
66,-1.9085606078562152,0.5611283086338206,Manhattan
67,1.4871742680107636,0.3592655016237445,Manhattan
68,8.492620666066847,1.2735206947681788,Manhattan
69,1.2348580420579607,0.014606110155907182,Manhattan
70,0.06414991670778201,-0.21101622037424905,Manhattan
71,0.8034132848852755,-0.22331571884821078,Manhattan
72,0.6021641871691307,0.021034241165375098,Manhattan
73,-0.41865384491118035,-1.256905256126395,Manhattan
74,-2.9311157470562135,0.5432496443396665,Manhattan
75,-4.21635022847976,1.9841639602204486,Manhattan
76,0.6697281646646625,0.20333291866563624,Manhattan
77,0.5635325607630984,-0.06110594504109049,Manhattan
78,-4.33965169000176,-0.9666935233519024,Manhattan
79,-3.5279596513342253,-1.3467194778937706,Manhattan
80,0.7131096702392823,-0.7156293013702258,Manhattan
81,0.7806849238490647,-0.257056536640383,Manhattan
82,-3.3301677618451175,0.6168249501317431,Manhattan
83,-3.2779449357843253,-0.8514873937112114,Manhattan
84,-0.49006283930307043,-0.6059689342298367,Manhattan
85,0.8379443693293324,-0.13499213861715137,Manhattan
86,1.8477825604628455,0.42762804278327926,Manhattan
87,1.5266876005600558,-0.39364804199030135,Manhattan
88,2.6115157566811003,0.16369294405555973,Manhattan
89,-3.8475114516391176,-0.7924090704758154,Manhattan
90,2.0435531231629676,0.075454875449961,Manhattan
91,-0.07779918712125747,0.49806548175767856,Manhattan
92,5.297715377111991,-0.4531653508648897,Manhattan
93,-5.325579195423491,-0.6547401383270678,Manhattan
94,0.604849019343575,-0.3510309147937217,Manhattan
95,-1.3365878245706317,-0.8797392984432095,Manhattan
96,-0.655078622000688,-0.815005705597956,Manhattan
97,-1.337248674126467,-0.43982092141499896,Manhattan
98,0.8206289464165861,-0.4319482653126957,Manhattan
99,1.3101853733966673,-0.5923116920357556,Manhattan
100,2.3017651570038615,0.8432171601583274,Manhattan
101,1.6117477735149341,-0.11470288737825377,Manhattan
102,0.21458751758994296,1.498061444063701,Manhattan
